epoch,loss,timestamp
1,0.091301,2025-12-25 01:19:07
2,0.026885,2025-12-25 01:19:07
3,0.020860,2025-12-25 01:19:07
4,0.017292,2025-12-25 01:19:07
5,0.014320,2025-12-25 01:19:07
6,0.012343,2025-12-25 01:19:07
7,0.010373,2025-12-25 01:19:07
8,0.009087,2025-12-25 01:19:07
9,0.007897,2025-12-25 01:19:07
10,0.007246,2025-12-25 01:19:07
11,0.006578,2025-12-25 01:19:07
12,0.006044,2025-12-25 01:19:07
13,0.005679,2025-12-25 01:19:07
14,0.005150,2025-12-25 01:19:07
15,0.004949,2025-12-25 01:19:07
16,0.004761,2025-12-25 01:19:07
17,0.004352,2025-12-25 01:19:07
18,0.004122,2025-12-25 01:19:07
19,0.003969,2025-12-25 01:19:07
20,0.004025,2025-12-25 01:19:07
21,0.003862,2025-12-25 01:19:07
22,0.003786,2025-12-25 01:19:07
23,0.003542,2025-12-25 01:19:07
24,0.003530,2025-12-25 01:19:07
25,0.003296,2025-12-25 01:19:07
26,0.003328,2025-12-25 01:19:07
27,0.003204,2025-12-25 01:19:07
28,0.002996,2025-12-25 01:19:07
29,0.003193,2025-12-25 01:19:07
30,0.003059,2025-12-25 01:19:07
